City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,aklavik,68.2191,-135.0107,-10.37,76,75,2.3,CA,1643734120
84,baruun-urt,46.6806,113.2792,-10.26,90,4,4.47,MN,1643734120
85,cabedelo,-6.9811,-34.8339,88.47,64,12,12.24,BR,1643734120
86,haines junction,60.7522,-137.5108,-41.85,66,90,0.0,CA,1643733857
87,narwar,25.65,77.9,63.14,54,0,5.75,IN,1643734121
88,georgetown,5.4112,100.3354,85.95,83,20,5.01,MY,1643734111
89,ulaangom,49.9811,92.0667,-22.97,90,77,3.2,MN,1643734121
90,albany,42.6001,-73.9662,34.66,50,7,5.01,US,1643734085
91,prince rupert,54.3161,-130.3201,37.09,93,75,4.61,CA,1643734182
92,tateyama,34.9833,139.8667,48.13,53,20,23.02,JP,1643734182
93,laguna,38.421,-121.4238,51.87,49,0,8.01,US,1643734182
94,zhengjiatun,43.5064,123.5064,1.76,84,4,6.67,CN,1643734182
95,igunga,-4.2833,33.8833,66.04,89,100,2.77,TZ,1643734183
96,hermanus,-34.4187,19.2345,77.9,79,4,2.8,ZA,1643734183
97,luau,-10.7073,22.2247,68.4,94,100,3.36,AO,1643734183
98,east london,-33.0153,27.9116,76.14,88,75,5.75,ZA,1643734184
99,bambous virieux,-20.3428,57.7575,79.21,94,75,19.57,MU,1643734184
100,talnakh,69.4865,88.3972,6.21,96,100,9.17,RU,1643734184
101,bhanjanagar,19.9333,84.5833,66.74,59,3,1.88,IN,1643734185
102,ostrovnoy,68.0531,39.5131,13.48,95,100,4.05,RU,1643734185
103,shestakovo,56.4915,103.96,-11.04,100,99,2.68,RU,1643734186
104,banda aceh,5.5577,95.3222,78.42,81,34,5.7,ID,1643734186
105,zharkovskiy,55.849,32.2697,21.65,95,100,8.14,RU,1643734186
106,kaitangata,-46.2817,169.8464,58.59,97,73,5.3,NZ,1643734186
107,kavaratti,10.5669,72.642,80.64,69,14,6.46,IN,1643734187
108,motupe,-6.1519,-79.7142,86.49,42,69,6.67,PE,1643734187
109,jamestown,42.097,-79.2353,34.52,36,89,7.0,US,1643734055
110,kahului,20.8947,-156.47,69.06,82,0,3.44,US,1643734188
111,atuona,-9.8,-139.0333,78.1,78,16,22.1,PF,1643734188
112,dolni bousov,50.4383,15.1281,37.36,97,99,16.02,CZ,1643734188
113,hambantota,6.1241,81.1185,76.33,74,7,16.17,LK,1643734188
114,harper,4.375,-7.7169,83.26,67,85,10.45,LR,1643734189
115,seoul,37.5683,126.9778,27.91,77,40,4.61,KR,1643733913
116,tuatapere,-46.1333,167.6833,61.83,93,83,7.0,NZ,1643734189
117,longyearbyen,78.2186,15.6401,21.04,63,20,10.36,SJ,1643734190
118,abong mbang,3.9833,13.1833,80.69,26,95,2.21,CM,1643734190
119,nikolskoye,59.7035,30.7861,26.49,98,99,2.13,RU,1643734190
120,muzhi,65.3667,64.6667,-17.63,100,43,3.85,RU,1643734191
121,port elizabeth,-33.918,25.5701,80.1,69,20,4.61,ZA,1643734191
122,hillsborough,37.5741,-122.3794,52.27,59,20,1.01,US,1643734161
123,kodiak,57.79,-152.4072,35.11,93,100,21.85,US,1643734191
124,ketchikan,55.3422,-131.6461,30.67,86,0,4.61,US,1643734192
125,hithadhoo,-0.6,73.0833,82.92,72,14,13.71,MV,1643734192
126,westport,41.1415,-73.3579,36.79,58,0,1.01,US,1643734103
127,sayyan,15.1718,44.3244,60.51,32,53,6.11,YE,1643734192
128,batagay-alyta,67.8006,130.4114,-17.61,97,97,1.86,RU,1643734193
129,camacha,33.0833,-16.3333,63.82,72,0,20.71,PT,1643734193
130,donskoye,45.4552,41.9741,37.53,86,96,6.33,RU,1643734193
131,kagadi,0.9606,30.7967,73.89,43,100,1.83,UG,1643734194
132,zelenoborskiy,66.845,32.3622,13.23,95,100,7.05,RU,1643734194
133,lucapa,-8.4192,20.7447,69.28,92,87,2.55,AO,1643734194
134,dosso,13.049,3.1937,81.77,8,0,8.7,NE,1643734195
135,port macquarie,-31.4333,152.9167,76.96,87,87,4.76,AU,1643734255
136,aswan,24.0934,32.907,67.3,37,0,5.75,EG,1643734255
137,bridlington,54.0831,-0.1919,51.98,68,97,25.75,GB,1643734256
138,bengkulu,-3.8004,102.2655,73.65,89,100,9.17,ID,1643734256
139,port blair,11.6667,92.75,75.24,83,40,2.3,IN,1643734257
140,lata,40.1629,-8.3327,64.81,52,0,8.77,PT,1643734257
141,saint-leu,-21.15,55.2833,77.83,80,24,20.94,RE,1643734257
142,acarau,-2.8856,-40.12,85.84,63,95,17.29,BR,1643734258
143,akyab,20.15,92.9,67.77,70,40,7.56,MM,1643734258
144,ambilobe,-13.2,49.05,74.28,95,100,1.05,MG,1643734258
145,hilo,19.7297,-155.09,66.25,83,100,6.91,US,1643734259
146,sitka,57.0531,-135.33,30.09,86,100,0.0,US,1643734259
147,port-gentil,-0.7193,8.7815,85.96,74,40,11.5,GA,1643734259
148,palamas,39.4667,22.0833,52.66,94,100,1.92,GR,1643734260
149,omsukchan,62.5333,155.8,-8.34,94,100,4.97,RU,1643734260
150,estacion coahuila,32.1939,-115.0017,59.97,41,95,7.09,MX,1643734260
151,valparaiso,-33.0393,-71.6273,67.64,66,40,8.05,CL,1643734261
152,salta,-24.7859,-65.4117,81.57,49,40,4.0,AR,1643734261
153,ambulu,-8.345,113.6058,75.81,90,79,3.49,ID,1643734261
154,aksu,41.1231,80.2644,24.82,48,3,2.19,CN,1643734262
155,portland,45.5234,-122.6762,39.74,94,100,1.01,US,1643733965
156,zabol,32.25,67.25,41.05,46,61,8.05,AF,1643734262
157,fairbanks,64.8378,-147.7164,-12.41,73,0,0.0,US,1643734263
158,vesyegonsk,58.664,37.2604,18.37,97,99,3.15,RU,1643734263
159,victor harbor,-35.5667,138.6167,62.01,69,37,3.0,AU,1643734263
160,punta alta,-38.8759,-62.0736,89.24,28,24,13.69,AR,1643734264
161,te anau,-45.4167,167.7167,61.65,98,100,2.66,NZ,1643734208
162,sao filipe,14.8961,-24.4956,75.25,75,100,5.91,CV,1643734264
163,buala,-8.145,159.5921,80.28,82,96,4.94,SB,1643734265
164,ulkan,57.243,107.3223,-12.12,100,98,2.73,RU,1643734265
165,pisco,-13.7,-76.2167,75.25,69,40,5.75,PE,1643734265
166,rocha,-34.4833,-54.3333,78.19,34,0,2.98,UY,1643734027
167,arraial do cabo,-22.9661,-42.0278,85.96,74,75,12.66,BR,1643733976
168,yellowknife,62.456,-114.3525,-27.58,75,0,9.22,CA,1643733967
169,saint-pierre,-21.3393,55.4781,78.44,94,75,20.71,RE,1643734266
170,luderitz,-26.6481,15.1594,67.96,82,43,9.4,NA,1643734266
171,kapit,2.0167,112.9333,72.57,100,98,0.47,MY,1643734267
172,tairua,-37.0167,175.85,70.09,88,99,11.61,NZ,1643734267
173,souillac,-20.5167,57.5167,79.36,94,75,19.57,MU,1643734267
174,norman wells,65.282,-126.8329,-16.56,69,75,2.3,CA,1643734268
175,gao,16.6362,1.637,78.21,7,20,12.41,ML,1643734268
176,san miguel,13.4833,-88.1833,92.66,33,2,1.77,SV,1643734268
177,vao,-22.6667,167.4833,76.08,84,94,8.14,NC,1643734269
178,luxor,25.6989,32.6421,62.65,36,0,3.44,EG,1643734269
179,havoysund,70.9963,24.6622,22.08,70,89,10.02,NO,1643734329
180,marsa matruh,31.3525,27.2453,61.0,55,40,10.36,EG,1643734330
181,saint-philippe,-21.3585,55.7679,78.35,87,58,19.15,RE,1643734330
